Rótulos de Linha;Soma de Quantity;Soma de Tax 5%;Soma de Total;Soma de Unit price;Soma de cogs;Soma de gross margin percentage;Soma de gross income;Soma de Rating
2/14/2019;7;21,028;441,588;60,08;420,56;4,761904762;21,028;4,5
11;7;21,028;441,588;60,08;420,56;4,761904762;21,028;4,5
110-05-6330;6;11,829;248,409;39,43;236,58;4,761904762;11,829;9,4
C;6;11,829;248,409;39,43;236,58;4,761904762;11,829;9,4
Naypyitaw;6;11,829;248,409;39,43;236,58;4,761904762;11,829;9,4
Normal;6;11,829;248,409;39,43;236,58;4,761904762;11,829;9,4
Female;6;11,829;248,409;39,43;236,58;4,761904762;11,829;9,4
Food and beverages;6;11,829;248,409;39,43;236,58;4,761904762;11,829;9,4
3/25/2019;6;11,829;248,409;39,43;236,58;4,761904762;11,829;9,4
20;6;11,829;248,409;39,43;236,58;4,761904762;11,829;9,4
110-48-7033;4;6,524;137,004;32,62;130,48;4,761904762;6,524;9
B;4;6,524;137,004;32,62;130,48;4,761904762;6,524;9
Mandalay;4;6,524;137,004;32,62;130,48;4,761904762;6,524;9
Member;4;6,524;137,004;32,62;130,48;4,761904762;6,524;9
Male;4;6,524;137,004;32,62;130,48;4,761904762;6,524;9
Fashion accessories;4;6,524;137,004;32,62;130,48;4,761904762;6,524;9
1/29/2019;4;6,524;137,004;32,62;130,48;4,761904762;6,524;9
14;4;6,524;137,004;32,62;130,48;4,761904762;6,524;9
114-35-5271;8;23,164;486,444;57,91;463,28;4,761904762;23,164;8,1
B;8;23,164;486,444;57,91;463,28;4,761904762;23,164;8,1
Mandalay;8;23,164;486,444;57,91;463,28;4,761904762;23,164;8,1
Normal;8;23,164;486,444;57,91;463,28;4,761904762;23,164;8,1
Female;8;23,164;486,444;57,91;463,28;4,761904762;23,164;8,1
Electronic accessories;8;23,164;486,444;57,91;463,28;4,761904762;23,164;8,1
02/07/2019;8;23,164;486,444;57,91;463,28;4,761904762;23,164;8,1
15;8;23,164;486,444;57,91;463,28;4,761904762;23,164;8,1
115-38-7388;8;4,072;85,512;10,18;81,44;4,761904762;4,072;9,5
C;8;4,072;85,512;10,18;81,44;4,761904762;4,072;9,5
Naypyitaw;8;4,072;85,512;10,18;81,44;4,761904762;4,072;9,5
Member;8;4,072;85,512;10,18;81,44;4,761904762;4,072;9,5
Female;8;4,072;85,512;10,18;81,44;4,761904762;4,072;9,5
Fashion accessories;8;4,072;85,512;10,18;81,44;4,761904762;4,072;9,5
3/30/2019;8;4,072;85,512;10,18;81,44;4,761904762;4,072;9,5
12;8;4,072;85,512;10,18;81,44;4,761904762;4,072;9,5
115-99-4379;7;19,1555;402,2655;54,73;383,11;4,761904762;19,1555;8,5
B;7;19,1555;402,2655;54,73;383,11;4,761904762;19,1555;8,5
Mandalay;7;19,1555;402,2655;54,73;383,11;4,761904762;19,1555;8,5
Member;7;19,1555;402,2655;54,73;383,11;4,761904762;19,1555;8,5
Female;7;19,1555;402,2655;54,73;383,11;4,761904762;19,1555;8,5
Fashion accessories;7;19,1555;402,2655;54,73;383,11;4,761904762;19,1555;8,5
3/14/2019;7;19,1555;402,2655;54,73;383,11;4,761904762;19,1555;8,5
19;7;19,1555;402,2655;54,73;383,11;4,761904762;19,1555;8,5
118-62-1812;4;15,676;329,196;78,38;313,52;4,761904762;15,676;7,9
C;4;15,676;329,196;78,38;313,52;4,761904762;15,676;7,9
Naypyitaw;4;15,676;329,196;78,38;313,52;4,761904762;15,676;7,9
Member;4;15,676;329,196;78,38;313,52;4,761904762;15,676;7,9
Female;4;15,676;329,196;78,38;313,52;4,761904762;15,676;7,9
Home and lifestyle;4;15,676;329,196;78,38;313,52;4,761904762;15,676;7,9
3/24/2019;4;15,676;329,196;78,38;313,52;4,761904762;15,676;7,9
17;4;15,676;329,196;78,38;313,52;4,761904762;15,676;7,9
120-06-4233;6;9,183;192,843;30,61;183,66;4,761904762;9,183;9,3
C;6;9,183;192,843;30,61;183,66;4,761904762;9,183;9,3
Naypyitaw;6;9,183;192,843;30,61;183,66;4,761904762;9,183;9,3
Normal;6;9,183;192,843;30,61;183,66;4,761904762;9,183;9,3
Male;6;9,183;192,843;30,61;183,66;4,761904762;9,183;9,3
Electronic accessories;6;9,183;192,843;30,61;183,66;4,761904762;9,183;9,3
03/12/2019;6;9,183;192,843;30,61;183,66;4,761904762;9,183;9,3
20;6;9,183;192,843;30,61;183,66;4,761904762;9,183;9,3
120-54-2248;5;7,215;151,515;28,86;144,3;4,761904762;7,215;8
B;5;7,215;151,515;28,86;144,3;4,761904762;7,215;8
Mandalay;5;7,215;151,515;28,86;144,3;4,761904762;7,215;8
Normal;5;7,215;151,515;28,86;144,3;4,761904762;7,215;8
Female;5;7,215;151,515;28,86;144,3;4,761904762;7,215;8
Food and beverages;5;7,215;151,515;28,86;144,3;4,761904762;7,215;8
1/22/2019;5;7,215;151,515;28,86;144,3;4,761904762;7,215;8
18;5;7,215;151,515;28,86;144,3;4,761904762;7,215;8
122-61-9553;9;23,094;484,974;51,32;461,88;4,761904762;23,094;5,6
C;9;23,094;484,974;51,32;461,88;4,761904762;23,094;5,6
Naypyitaw;9;23,094;484,974;51,32;461,88;4,761904762;23,094;5,6
Normal;9;23,094;484,974;51,32;461,88;4,761904762;23,094;5,6
Female;9;23,094;484,974;51,32;461,88;4,761904762;23,094;5,6
Electronic accessories;9;23,094;484,974;51,32;461,88;4,761904762;23,094;5,6
3/14/2019;9;23,094;484,974;51,32;461,88;4,761904762;23,094;5,6
19;9;23,094;484,974;51,32;461,88;4,761904762;23,094;5,6
123-19-1176;8;23,288;489,048;58,22;465,76;4,761904762;23,288;8,4
A;8;23,288;489,048;58,22;465,76;4,761904762;23,288;8,4
Yangon;8;23,288;489,048;58,22;465,76;4,761904762;23,288;8,4
Member;8;23,288;489,048;58,22;465,76;4,761904762;23,288;8,4
Male;8;23,288;489,048;58,22;465,76;4,761904762;23,288;8,4
Health and beauty;8;23,288;489,048;58,22;465,76;4,761904762;23,288;8,4
1/27/2019;8;23,288;489,048;58,22;465,76;4,761904762;23,288;8,4
20;8;23,288;489,048;58,22;465,76;4,761904762;23,288;8,4
123-35-4896;9;20,997;440,937;46,66;419,94;4,761904762;20,997;5,3
C;9;20,997;440,937;46,66;419,94;4,761904762;20,997;5,3
Naypyitaw;9;20,997;440,937;46,66;419,94;4,761904762;20,997;5,3
Normal;9;20,997;440,937;46,66;419,94;4,761904762;20,997;5,3
Female;9;20,997;440,937;46,66;419,94;4,761904762;20,997;5,3
Sports and travel;9;20,997;440,937;46,66;419,94;4,761904762;20,997;5,3
2/17/2019;9;20,997;440,937;46,66;419,94;4,761904762;20,997;5,3
19;9;20,997;440,937;46,66;419,94;4,761904762;20,997;5,3
124-31-1458;3;11,9385;250,7085;79,59;238,77;4,761904762;11,9385;6,6
A;3;11,9385;250,7085;79,59;238,77;4,761904762;11,9385;6,6
Yangon;3;11,9385;250,7085;79,59;238,77;4,761904762;11,9385;6,6
Member;3;11,9385;250,7085;79,59;238,77;4,761904762;11,9385;6,6
Female;3;11,9385;250,7085;79,59;238,77;4,761904762;11,9385;6,6
Electronic accessories;3;11,9385;250,7085;79,59;238,77;4,761904762;11,9385;6,6
01/08/2019;3;11,9385;250,7085;79,59;238,77;4,761904762;11,9385;6,6
14;3;11,9385;250,7085;79,59;238,77;4,761904762;11,9385;6,6
125-45-2293;6;29,73;624,33;99,1;594,6;4,761904762;29,73;4,2
A;6;29,73;624,33;99,1;594,6;4,761904762;29,73;4,2
Yangon;6;29,73;624,33;99,1;594,6;4,761904762;29,73;4,2
Normal;6;29,73;624,33;99,1;594,6;4,761904762;29,73;4,2
Female;6;29,73;624,33;99,1;594,6;4,761904762;29,73;4,2
Fashion accessories;6;29,73;624,33;99,1;594,6;4,761904762;29,73;4,2
1/19/2019;6;29,73;624,33;99,1;594,6;4,761904762;29,73;4,2
13;6;29,73;624,33;99,1;594,6;4,761904762;29,73;4,2
126-54-1082;9;9,693;203,553;21,54;193,86;4,761904762;9,693;8,8
A;9;9,693;203,553;21,54;193,86;4,761904762;9,693;8,8
Yangon;9;9,693;203,553;21,54;193,86;4,761904762;9,693;8,8
Member;9;9,693;203,553;21,54;193,86;4,761904762;9,693;8,8
Female;9;9,693;203,553;21,54;193,86;4,761904762;9,693;8,8
Home and lifestyle;9;9,693;203,553;21,54;193,86;4,761904762;9,693;8,8
01/07/2019;9;9,693;203,553;21,54;193,86;4,761904762;9,693;8,8
11;9;9,693;203,553;21,54;193,86;4,761904762;9,693;8,8
127-47-6963;4;10,342;217,182;51,71;206,84;4,761904762;10,342;9,8
A;4;10,342;217,182;51,71;206,84;4,761904762;10,342;9,8
Yangon;4;10,342;217,182;51,71;206,84;4,761904762;10,342;9,8
Normal;4;10,342;217,182;51,71;206,84;4,761904762;10,342;9,8
Male;4;10,342;217,182;51,71;206,84;4,761904762;10,342;9,8
Health and beauty;4;10,342;217,182;51,71;206,84;4,761904762;10,342;9,8
03/09/2019;4;10,342;217,182;51,71;206,84;4,761904762;10,342;9,8
13;4;10,342;217,182;51,71;206,84;4,761904762;10,342;9,8
129-29-8530;5;15,655;328,755;62,62;313,1;4,761904762;15,655;7
A;5;15,655;328,755;62,62;313,1;4,761904762;15,655;7
Yangon;5;15,655;328,755;62,62;313,1;4,761904762;15,655;7
Member;5;15,655;328,755;62,62;313,1;4,761904762;15,655;7
Male;5;15,655;328,755;62,62;313,1;4,761904762;15,655;7
Sports and travel;5;15,655;328,755;62,62;313,1;4,761904762;15,655;7
03/10/2019;5;15,655;328,755;62,62;313,1;4,761904762;15,655;7
19;5;15,655;328,755;62,62;313,1;4,761904762;15,655;7
130-67-4723;6;14,55;305,55;48,5;291;4,761904762;14,55;9,4
A;6;14,55;305,55;48,5;291;4,761904762;14,55;9,4
Yangon;6;14,55;305,55;48,5;291;4,761904762;14,55;9,4
Member;6;14,55;305,55;48,5;291;4,761904762;14,55;9,4
Male;6;14,55;305,55;48,5;291;4,761904762;14,55;9,4
Food and beverages;6;14,55;305,55;48,5;291;4,761904762;14,55;9,4
01/11/2019;6;14,55;305,55;48,5;291;4,761904762;14,55;9,4
13;6;14,55;305,55;48,5;291;4,761904762;14,55;9,4
130-98-8941;7;22,491;472,311;64,26;449,82;4,761904762;22,491;5,7
C;7;22,491;472,311;64,26;449,82;4,761904762;22,491;5,7
Naypyitaw;7;22,491;472,311;64,26;449,82;4,761904762;22,491;5,7
Normal;7;22,491;472,311;64,26;449,82;4,761904762;22,491;5,7
Male;7;22,491;472,311;64,26;449,82;4,761904762;22,491;5,7
Fashion accessories;7;22,491;472,311;64,26;449,82;4,761904762;22,491;5,7
02/09/2019;7;22,491;472,311;64,26;449,82;4,761904762;22,491;5,7
10;7;22,491;472,311;64,26;449,82;4,761904762;22,491;5,7
131-15-8856;8;29,008;609,168;72,52;580,16;4,761904762;29,008;4
C;8;29,008;609,168;72,52;580,16;4,761904762;29,008;4
Naypyitaw;8;29,008;609,168;72,52;580,16;4,761904762;29,008;4
Member;8;29,008;609,168;72,52;580,16;4,761904762;29,008;4
Female;8;29,008;609,168;72,52;580,16;4,761904762;29,008;4
Food and beverages;8;29,008;609,168;72,52;580,16;4,761904762;29,008;4
3/30/2019;8;29,008;609,168;72,52;580,16;4,761904762;29,008;4
19;8;29,008;609,168;72,52;580,16;4,761904762;29,008;4
131-70-8179;3;13,8135;290,0835;92,09;276,27;4,761904762;13,8135;4,2
A;3;13,8135;290,0835;92,09;276,27;4,761904762;13,8135;4,2
Yangon;3;13,8135;290,0835;92,09;276,27;4,761904762;13,8135;4,2
Member;3;13,8135;290,0835;92,09;276,27;4,761904762;13,8135;4,2
Female;3;13,8135;290,0835;92,09;276,27;4,761904762;13,8135;4,2
Health and beauty;3;13,8135;290,0835;92,09;276,27;4,761904762;13,8135;4,2
2/17/2019;3;13,8135;290,0835;92,09;276,27;4,761904762;13,8135;4,2
16;3;13,8135;290,0835;92,09;276,27;4,761904762;13,8135;4,2
132-23-6451;5;5,2425;110,0925;20,97;104,85;4,761904762;5,2425;7,8
A;5;5,2425;110,0925;20,97;104,85;4,761904762;5,2425;7,8
Yangon;5;5,2425;110,0925;20,97;104,85;4,761904762;5,2425;7,8
Member;5;5,2425;110,0925;20,97;104,85;4,761904762;5,2425;7,8
Male;5;5,2425;110,0925;20,97;104,85;4,761904762;5,2425;7,8
Health and beauty;5;5,2425;110,0925;20,97;104,85;4,761904762;5,2425;7,8
01/04/2019;5;5,2425;110,0925;20,97;104,85;4,761904762;5,2425;7,8
13;5;5,2425;110,0925;20,97;104,85;4,761904762;5,2425;7,8
132-32-9879;4;18,792;394,632;93,96;375,84;4,761904762;18,792;9,5
B;4;18,792;394,632;93,96;375,84;4,761904762;18,792;9,5
Mandalay;4;18,792;394,632;93,96;375,84;4,761904762;18,792;9,5
Member;4;18,792;394,632;93,96;375,84;4,761904762;18,792;9,5
Female;4;18,792;394,632;93,96;375,84;4,761904762;18,792;9,5
Electronic accessories;4;18,792;394,632;93,96;375,84;4,761904762;18,792;9,5
03/09/2019;4;18,792;394,632;93,96;375,84;4,761904762;18,792;9,5
18;4;18,792;394,632;93,96;375,84;4,761904762;18,792;9,5
133-14-7229;2;6,287;132,027;62,87;125,74;4,761904762;6,287;5
C;2;6,287;132,027;62,87;125,74;4,761904762;6,287;5
Naypyitaw;2;6,287;132,027;62,87;125,74;4,761904762;6,287;5
Normal;2;6,287;132,027;62,87;125,74;4,761904762;6,287;5
Male;2;6,287;132,027;62,87;125,74;4,761904762;6,287;5
Health and beauty;2;6,287;132,027;62,87;125,74;4,761904762;6,287;5
01/01/2019;2;6,287;132,027;62,87;125,74;4,761904762;6,287;5
11;2;6,287;132,027;62,87;125,74;4,761904762;6,287;5
133-77-3154;4;12,036;252,756;60,18;240,72;4,761904762;12,036;9,4
B;4;12,036;252,756;60,18;240,72;4,761904762;12,036;9,4
Mandalay;4;12,036;252,756;60,18;240,72;4,761904762;12,036;9,4
Member;4;12,036;252,756;60,18;240,72;4,761904762;12,036;9,4
Male;4;12,036;252,756;60,18;240,72;4,761904762;12,036;9,4
Fashion accessories;4;12,036;252,756;60,18;240,72;4,761904762;12,036;9,4
2/16/2019;4;12,036;252,756;60,18;240,72;4,761904762;12,036;9,4
18;4;12,036;252,756;60,18;240,72;4,761904762;12,036;9,4
134-54-4720;8;16,968;356,328;42,42;339,36;4,761904762;16,968;5,7
B;8;16,968;356,328;42,42;339,36;4,761904762;16,968;5,7
Mandalay;8;16,968;356,328;42,42;339,36;4,761904762;16,968;5,7
Normal;8;16,968;356,328;42,42;339,36;4,761904762;16,968;5,7
Female;8;16,968;356,328;42,42;339,36;4,761904762;16,968;5,7
Electronic accessories;8;16,968;356,328;42,42;339,36;4,761904762;16,968;5,7
1/30/2019;8;16,968;356,328;42,42;339,36;4,761904762;16,968;5,7
13;8;16,968;356,328;42,42;339,36;4,761904762;16,968;5,7
134-75-2619;7;6,762;142,002;19,32;135,24;4,761904762;6,762;6,9
A;7;6,762;142,002;19,32;135,24;4,761904762;6,762;6,9
Yangon;7;6,762;142,002;19,32;135,24;4,761904762;6,762;6,9
Member;7;6,762;142,002;19,32;135,24;4,761904762;6,762;6,9
Male;7;6,762;142,002;19,32;135,24;4,761904762;6,762;6,9
Electronic accessories;7;6,762;142,002;19,32;135,24;4,761904762;6,762;6,9
3/25/2019;7;6,762;142,002;19,32;135,24;4,761904762;6,762;6,9
18;7;6,762;142,002;19,32;135,24;4,761904762;6,762;6,9
135-13-8269;2;7,888;165,648;78,88;157,76;4,761904762;7,888;9,1
B;2;7,888;165,648;78,88;157,76;4,761904762;7,888;9,1
Mandalay;2;7,888;165,648;78,88;157,76;4,761904762;7,888;9,1
Member;2;7,888;165,648;78,88;157,76;4,761904762;7,888;9,1
Female;2;7,888;165,648;78,88;157,76;4,761904762;7,888;9,1
Food and beverages;2;7,888;165,648;78,88;157,76;4,761904762;7,888;9,1
1/26/2019;2;7,888;165,648;78,88;157,76;4,761904762;7,888;9,1
16;2;7,888;165,648;78,88;157,76;4,761904762;7,888;9,1
135-84-8019;9;35,0685;736,4385;77,93;701,37;4,761904762;35,0685;7,6
A;9;35,0685;736,4385;77,93;701,37;4,761904762;35,0685;7,6
Yangon;9;35,0685;736,4385;77,93;701,37;4,761904762;35,0685;7,6
Normal;9;35,0685;736,4385;77,93;701,37;4,761904762;35,0685;7,6
Female;9;35,0685;736,4385;77,93;701,37;4,761904762;35,0685;7,6
Fashion accessories;9;35,0685;736,4385;77,93;701,37;4,761904762;35,0685;7,6
2/27/2019;9;35,0685;736,4385;77,93;701,37;4,761904762;35,0685;7,6
16;9;35,0685;736,4385;77,93;701,37;4,761904762;35,0685;7,6
136-08-6195;8;27,984;587,664;69,96;559,68;4,761904762;27,984;6,4
A;8;27,984;587,664;69,96;559,68;4,761904762;27,984;6,4
Yangon;8;27,984;587,664;69,96;559,68;4,761904762;27,984;6,4
Normal;8;27,984;587,664;69,96;559,68;4,761904762;27,984;6,4
Female;8;27,984;587,664;69,96;559,68;4,761904762;27,984;6,4
Home and lifestyle;8;27,984;587,664;69,96;559,68;4,761904762;27,984;6,4
2/15/2019;8;27,984;587,664;69,96;559,68;4,761904762;27,984;6,4
17;8;27,984;587,664;69,96;559,68;4,761904762;27,984;6,4
137-63-5492;10;29,38;616,98;58,76;587,6;4,761904762;29,38;9
C;10;29,38;616,98;58,76;587,6;4,761904762;29,38;9
Naypyitaw;10;29,38;616,98;58,76;587,6;4,761904762;29,38;9
Normal;10;29,38;616,98;58,76;587,6;4,761904762;29,38;9
Male;10;29,38;616,98;58,76;587,6;4,761904762;29,38;9
Electronic accessories;10;29,38;616,98;58,76;587,6;4,761904762;29,38;9
1/29/2019;10;29,38;616,98;58,76;587,6;4,761904762;29,38;9
14;10;29,38;616,98;58,76;587,6;4,761904762;29,38;9
137-74-8729;8;4,876;102,396;12,19;97,52;4,761904762;4,876;6,8
C;8;4,876;102,396;12,19;97,52;4,761904762;4,876;6,8
Naypyitaw;8;4,876;102,396;12,19;97,52;4,761904762;4,876;6,8
Normal;8;4,876;102,396;12,19;97,52;4,761904762;4,876;6,8
Female;8;4,876;102,396;12,19;97,52;4,761904762;4,876;6,8
Fashion accessories;8;4,876;102,396;12,19;97,52;4,761904762;4,876;6,8
3/13/2019;8;4,876;102,396;12,19;97,52;4,761904762;4,876;6,8
12;8;4,876;102,396;12,19;97,52;4,761904762;4,876;6,8
138-17-5109;9;40,1445;843,0345;89,21;802,89;4,761904762;40,1445;6,5
A;9;40,1445;843,0345;89,21;802,89;4,761904762;40,1445;6,5
Yangon;9;40,1445;843,0345;89,21;802,89;4,761904762;40,1445;6,5
Member;9;40,1445;843,0345;89,21;802,89;4,761904762;40,1445;6,5
Female;9;40,1445;843,0345;89,21;802,89;4,761904762;40,1445;6,5
Home and lifestyle;9;40,1445;843,0345;89,21;802,89;4,761904762;40,1445;6,5
1/15/2019;9;40,1445;843,0345;89,21;802,89;4,761904762;40,1445;6,5
15;9;40,1445;843,0345;89,21;802,89;4,761904762;40,1445;6,5
139-20-0155;10;20,15;423,15;40,3;403;4,761904762;20,15;7
B;10;20,15;423,15;40,3;403;4,761904762;20,15;7
Mandalay;10;20,15;423,15;40,3;403;4,761904762;20,15;7
Member;10;20,15;423,15;40,3;403;4,761904762;20,15;7
Male;10;20,15;423,15;40,3;403;4,761904762;20,15;7
Electronic accessories;10;20,15;423,15;40,3;403;4,761904762;20,15;7
1/24/2019;10;20,15;423,15;40,3;403;4,761904762;20,15;7
17;10;20,15;423,15;40,3;403;4,761904762;20,15;7
139-32-4183;9;43,866;921,186;97,48;877,32;4,761904762;43,866;7,4
A;9;43,866;921,186;97,48;877,32;4,761904762;43,866;7,4
Yangon;9;43,866;921,186;97,48;877,32;4,761904762;43,866;7,4
Member;9;43,866;921,186;97,48;877,32;4,761904762;43,866;7,4
Female;9;43,866;921,186;97,48;877,32;4,761904762;43,866;7,4
Sports and travel;9;43,866;921,186;97,48;877,32;4,761904762;43,866;7,4
3/14/2019;9;43,866;921,186;97,48;877,32;4,761904762;43,866;7,4
14;9;43,866;921,186;97,48;877,32;4,761904762;43,866;7,4
139-52-2867;7;7,8785;165,4485;22,51;157,57;4,761904762;7,8785;4,8
C;7;7,8785;165,4485;22,51;157,57;4,761904762;7,8785;4,8
Naypyitaw;7;7,8785;165,4485;22,51;157,57;4,761904762;7,8785;4,8
Normal;7;7,8785;165,4485;22,51;157,57;4,761904762;7,8785;4,8
Female;7;7,8785;165,4485;22,51;157,57;4,761904762;7,8785;4,8
Fashion accessories;7;7,8785;165,4485;22,51;157,57;4,761904762;7,8785;4,8
2/13/2019;7;7,8785;165,4485;22,51;157,57;4,761904762;7,8785;4,8
10;7;7,8785;165,4485;22,51;157,57;4,761904762;7,8785;4,8
142-63-6033;5;23,09;484,89;92,36;461,8;4,761904762;23,09;4,9
B;5;23,09;484,89;92,36;461,8;4,761904762;23,09;4,9
Mandalay;5;23,09;484,89;92,36;461,8;4,761904762;23,09;4,9
Normal;5;23,09;484,89;92,36;461,8;4,761904762;23,09;4,9
Male;5;23,09;484,89;92,36;461,8;4,761904762;23,09;4,9
Home and lifestyle;5;23,09;484,89;92,36;461,8;4,761904762;23,09;4,9
3/20/2019;5;23,09;484,89;92,36;461,8;4,761904762;23,09;4,9
19;5;23,09;484,89;92,36;461,8;4,761904762;23,09;4,9
142-72-4741;2;9,32;195,72;93,2;186,4;4,761904762;9,32;6
C;2;9,32;195,72;93,2;186,4;4,761904762;9,32;6
Naypyitaw;2;9,32;195,72;93,2;186,4;4,761904762;9,32;6
Member;2;9,32;195,72;93,2;186,4;4,761904762;9,32;6
Male;2;9,32;195,72;93,2;186,4;4,761904762;9,32;6
Fashion accessories;2;9,32;195,72;93,2;186,4;4,761904762;9,32;6
2/28/2019;2;9,32;195,72;93,2;186,4;4,761904762;9,32;6
18;2;9,32;195,72;93,2;186,4;4,761904762;9,32;6
144-51-6085;4;14,148;297,108;70,74;282,96;4,761904762;14,148;4,4
A;4;14,148;297,108;70,74;282,96;4,761904762;14,148;4,4
Yangon;4;14,148;297,108;70,74;282,96;4,761904762;14,148;4,4
Member;4;14,148;297,108;70,74;282,96;4,761904762;14,148;4,4
Male;4;14,148;297,108;70,74;282,96;4,761904762;14,148;4,4
Home and lifestyle;4;14,148;297,108;70,74;282,96;4,761904762;14,148;4,4
